mu0,mu1,mu2,C,CV,Ln,CV_SP,Ln_SP,mu3
3075.74609375,122218.5,8493546.0,0.15766821801662445,-0.16043396294116974,39.40288162231445,1.0,15.0,950798656.0
4637.9658203125,180588.078125,13317177.0,0.15584596991539001,-0.0803522914648056,38.603580474853516,1.0,15.0,1498462976.0
7388.09130859375,266675.78125,20103036.0,0.15318407118320465,0.017468135803937912,35.762020111083984,1.0,15.0,2298476544.0
11972.2060546875,394849.03125,29416976.0,0.14951162040233612,0.09621128439903259,32.64714813232422,1.0,15.0,3402198272.0
19119.779296875,579948.3125,41761600.0,0.14474605023860931,0.1463528424501419,29.999053955078125,1.0,15.0,4834446336.0
29461.59375,831457.375,57280880.0,0.13897188007831573,0.17463251948356628,27.888418197631836,1.0,15.0,6569818112.0
43285.42578125,1147284.0,75486696.0,0.1324840933084488,0.191708505153656,26.171762466430664,1.0,15.0,8519671296.0
60355.87109375,1511754.25,95259904.0,0.12573543190956116,0.20533089339733124,24.714019775390625,1.0,15.0,10547916800.0
79941.5,1900389.625,115206408.0,0.11919485777616501,0.21921852231025696,23.438928604125977,1.0,15.0,12513626112.0
101077.4453125,2288297.75,134115888.0,0.11321169883012772,0.23467521369457245,22.305728912353516,1.0,15.0,14311810048.0
122820.765625,2656623.75,151228768.0,0.10796304047107697,0.251576691865921,21.296764373779297,1.0,15.0,15889244160.0
144432.15625,2994390.25,166236560.0,0.10348222404718399,0.269461452960968,20.39884376525879,1.0,15.0,17235912704.0
165407.265625,3297436.25,179156640.0,0.09971300512552261,0.287728488445282,19.601940155029297,1.0,15.0,18368718848.0
185456.03125,3565882.0,190174048.0,0.09656228870153427,0.30597347021102905,18.894323348999023,1.0,15.0,19315642368.0
204441.28125,3802072.25,199533792.0,0.09393128752708435,0.32395750284194946,18.26406478881836,1.0,15.0,20106366976.0
222322.546875,4009523.5,207493696.0,0.09172690659761429,0.3414616286754608,17.70140266418457,1.0,15.0,20768872448.0
239119.578125,4191898.75,214286544.0,0.08987005800008774,0.3583720624446869,17.197240829467773,1.0,15.0,21326936064.0
254885.609375,4352695.5,220113712.0,0.08829524368047714,0.3746214210987091,16.74374008178711,1.0,15.0,21800230912.0
269687.09375,4494885.5,225137584.0,0.08695114403963089,0.39021801948547363,16.333724975585938,1.0,15.0,22204186624.0
283599.5625,4621228.5,229497792.0,0.08579498529434204,0.40514451265335083,15.961590766906738,1.0,15.0,22551658496.0
296695.5625,4733964.0,233304288.0,0.08479367196559906,0.4194265305995941,15.622314453125,1.0,15.0,22852593664.0
309042.03125,4834924.0,236644336.0,0.08392132818698883,0.4331067204475403,15.311561584472656,1.0,15.0,23114768384.0
320704.1875,4925747.0,239592304.0,0.08315635472536087,0.4462098479270935,15.025848388671875,1.0,15.0,23344674816.0
331737.46875,5007707.0,242205376.0,0.08248221129179001,0.45878052711486816,14.762079238891602,1.0,15.0,23547279360.0
342202.03125,5082108.5,244537952.0,0.08188363909721375,0.4708261489868164,14.517881393432617,1.0,15.0,23727173632.0
352143.1875,5149853.0,246628400.0,0.08134978264570236,0.48238739371299744,14.291001319885254,1.0,15.0,23887618048.0
1500.0,23000.0,1800000.0,0.16,1.0,15.0,1.0,15.0,250000000.0
1757.4388427734375,48958.0859375,3012672.25,0.15956811606884003,0.07369117438793182,27.52429962158203,1.0,15.0,379798720.0
2221.0244140625,80683.3984375,5168728.5,0.15884636342525482,-0.15205591917037964,35.99376678466797,1.0,15.0,596721792.0
3075.7197265625,122216.03125,8493397.0,0.15766827762126923,-0.16041912138462067,39.40241241455078,1.0,15.0,950785024.0
4637.810546875,180583.3125,13316833.0,0.15584608912467957,-0.08035831898450851,38.603843688964844,1.0,15.0,1498427904.0
7387.72900390625,266666.71875,20102424.0,0.15318426489830017,0.01745748147368431,35.76254653930664,1.0,15.0,2298411520.0
11970.5625,394820.65625,29415374.0,0.1495121717453003,0.09616386890411377,32.64928436279297,1.0,15.0,3402026240.0
19116.623046875,579889.3125,41758744.0,0.14474695920944214,0.1463237851858139,30.000953674316406,1.0,15.0,4834164736.0
29459.38671875,831382.875,57277364.0,0.13897283375263214,0.17467761039733887,27.887977600097656,1.0,15.0,6569518080.0
43281.99609375,1147193.875,75482232.0,0.13248524069786072,0.19172848761081696,26.171762466430664,1.0,15.0,8519314432.0
60348.48828125,1511643.375,95254872.0,0.12573666870594025,0.20530332624912262,24.715221405029297,1.0,15.0,10547540992.0
79933.7890625,1900255.5,115200912.0,0.1191960945725441,0.21921685338020325,23.439523696899414,1.0,15.0,12513248256.0
101068.0,2288159.0,134110744.0,0.1132126897573471,0.2346658706665039,22.30644989013672,1.0,15.0,14311504896.0
122811.9765625,2656463.75,151223040.0,0.10796409100294113,0.25158920884132385,21.296985626220703,1.0,15.0,15888922624.0
144423.09375,2994234.0,166231120.0,0.10348308831453323,0.26947247982025146,20.399032592773438,1.0,15.0,17235648512.0
165399.359375,3297247.5,179149824.0,0.09971419721841812,0.28776004910469055,19.601722717285156,1.0,15.0,18368356352.0
