mu0,mu1,mu2,C,CV,Ln,CV_SP,Ln_SP,mu3
-1.0,-0.9999999999999996,-0.999999999999964,-0.36,0.0,0.5,0.0,0.5,-0.999999999995
-1.0,-0.999999999999999,-0.99999999999994,-0.3635754866804285,-0.9281749947161877,1.7348143270605338,0.0,0.5,-0.9999999999923269
-1.0,-0.9999999999999984,-0.9999999999998964,-0.36767984579302315,-1.1540620954905871,2.65188370555015,0.0,0.5,-0.9999999999880941
-0.9999999999999999,-0.9999999999999976,-0.9999999999998319,-0.37443099777635747,-1.1597639492368501,2.8699427904710326,0.0,0.5,-0.9999999999813872
-0.9999999999999999,-0.9999999999999964,-0.9999999999997347,-0.38490257204551004,-1.0773386105845089,2.856710907131626,0.0,0.5,-0.9999999999706792
-0.9999999999999999,-0.9999999999999946,-0.9999999999995962,-0.38081724396421524,-0.9768015231079252,2.548078004291301,0.0,0.5,-0.9999999999536598
-0.9999999999999998,-0.999999999999992,-0.9999999999994159,-0.40471924068034215,-0.9059880606632192,2.2835886303174613,0.0,0.5,-0.9999999999321167
-0.9999999999999997,-0.9999999999999885,-0.9999999999991623,-0.4166377556746975,-0.8654925341218084,2.05988227034896,0.0,0.5,-0.9999999999019096
-0.9999999999999994,-0.9999999999999833,-0.9999999999988689,-0.4404672795268506,-0.8360960704235333,1.8153916962823082,0.0,0.5,-0.9999999998686324
-0.9999999999999991,-0.9999999999999771,-0.999999999998495,-0.46377853532489943,-0.8228356953861646,1.6711654713546062,0.0,0.5,-0.9999999998297324
-0.9999999999999989,-0.9999999999999704,-0.9999999999981178,-0.4870824080241557,-0.8035463294997803,1.5174105318385709,0.0,0.5,-0.999999999790323
-0.9999999999999984,-0.9999999999999629,-0.9999999999976829,-0.5229621091121017,-0.7694533537204222,1.3605900815353422,0.0,0.5,-0.9999999997496825
-0.999999999999998,-0.9999999999999556,-0.9999999999973325,-0.5465183702152042,-0.7477841016286455,1.236016907811539,0.0,0.5,-0.9999999997208443
-0.9999999999999977,-0.9999999999999484,-0.9999999999969791,-0.5650967166930103,-0.7323356200976854,1.1188605570335741,0.0,0.5,-0.999999999686184
-0.9999999999999971,-0.9999999999999399,-0.9999999999966731,-0.5871381127566867,-0.7272737940883471,1.0595139659666044,0.0,0.5,-0.9999999996553409
-0.9999999999999967,-0.9999999999999353,-0.9999999999964441,-0.6084041121417688,-0.709511140202561,0.9420305622225502,0.0,0.5,-0.9999999996343958
-0.9999999999999963,-0.9999999999999277,-0.9999999999962456,-0.6168718185719306,-0.7009903318493008,0.9163252863318174,0.0,0.5,-0.9999999996128451
-0.999999999999996,-0.9999999999999248,-0.9999999999960305,-0.6230442532666904,-0.6852805264968393,0.8680752647950822,0.0,0.5,-0.9999999995955077
-0.9999999999999956,-0.9999999999999197,-0.9999999999957808,-0.6309804231740741,-0.671952838237386,0.8122965529987003,0.0,0.5,-0.9999999995790233
-0.9999999999999952,-0.999999999999916,-0.9999999999957018,-0.6428425186449163,-0.6438459265028499,0.720472528275262,0.0,0.5,-0.999999999573778
-0.999999999999995,-0.9999999999999134,-0.9999999999956058,-0.6483045347601611,-0.6277208899463285,0.6748955088363331,0.0,0.5,-0.9999999995616112
-0.9999999999999947,-0.9999999999999116,-0.9999999999954309,-0.6532581994049151,-0.6054467690332124,0.6406290292683252,0.0,0.5,-0.9999999995535885
-0.9999999999999943,-0.9999999999999085,-0.9999999999953852,-0.6601820948597623,-0.5881776093718949,0.595230750035737,0.0,0.5,-0.9999999995466726
-0.9999999999999941,-0.9999999999999047,-0.9999999999954207,-0.6615887601832975,-0.5810933138787726,0.5506615565911885,0.0,0.5,-0.999999999544631
-0.9999999999999938,-0.9999999999999047,-0.9999999999952832,-0.667266316645739,-0.5732180680410216,0.5558048506037714,0.0,0.5,-0.9999999995372405
-0.9999999999999936,-0.9999999999999029,-0.9999999999952288,-0.662470360111605,-0.5549870109486263,0.5226652671517722,0.0,0.5,-0.9999999995325591
-0.9999999999999934,-0.9999999999998996,-0.9999999999951533,-0.6741736442983703,-0.5464515155117831,0.4841606369803342,0.0,0.5,-0.9999999995258719
-0.9999999999999931,-0.9999999999999002,-0.9999999999950806,-0.6715162450094554,-0.5333825790417238,0.47915417614680966,0.0,0.5,-0.9999999995222479
-0.9999999999999931,-0.9999999999998971,-0.9999999999950844,-0.6742537534888178,-0.519333609995626,0.43836602907032285,0.0,0.5,-0.9999999995172029
-1.0,-0.9999999999999996,-0.999999999999964,-0.36,0.0,0.5,0.0,0.5,-0.999999999995
-1.0,-0.999999999999999,-0.9999999999999403,-0.3716162240682771,-0.9290260817663176,1.8074420039989807,0.0,0.5,-0.9999999999924349
-1.0,-0.9999999999999983,-0.9999999999998965,-0.37761653286957986,-1.1585688433851886,2.585449728181085,0.0,0.5,-0.9999999999882776
-0.9999999999999999,-0.9999999999999976,-0.9999999999998308,-0.3676934076858617,-1.1616460672227829,2.947837192616839,0.0,0.5,-0.9999999999811459
-0.9999999999999999,-0.9999999999999964,-0.9999999999997339,-0.3834693693036928,-1.0869113827980883,2.894692812292387,0.0,0.5,-0.9999999999707168
-0.9999999999999999,-0.9999999999999948,-0.9999999999996165,-0.38757738729669966,-0.9999811263082092,2.6880118102214867,0.0,0.5,-0.999999999954839
-0.9999999999999998,-0.9999999999999923,-0.9999999999994237,-0.40966465475122216,-0.8972551209843878,2.2431384125594924,0.0,0.5,-0.999999999933871
-0.9999999999999997,-0.9999999999999887,-0.9999999999991913,-0.4206273324693167,-0.8450432209271511,1.9969473846546153,0.0,0.5,-0.9999999999038811
-0.9999999999999994,-0.9999999999999837,-0.9999999999988772,-0.43835951019381947,-0.8373772843508784,1.8122390796536214,0.0,0.5,-0.9999999998697648
-0.9999999999999992,-0.9999999999999782,-0.9999999999985059,-0.46657028833573,-0.8184106514923057,1.6678757656794403,0.0,0.5,-0.999999999832802
-0.9999999999999988,-0.9999999999999711,-0.9999999999981336,-0.4929539217168406,-0.7856261150848551,1.4823221023895385,0.0,0.5,-0.9999999997931505
-0.9999999999999984,-0.9999999999999627,-0.9999999999977324,-0.5252527463245759,-0.7824307747842836,1.3246706622385913,0.0,0.5,-0.9999999997510646
-0.999999999999998,-0.9999999999999555,-0.9999999999973661,-0.5492502158184625,-0.7659595689017447,1.2725668368542506,0.0,0.5,-0.9999999997177136
-0.9999999999999977,-0.9999999999999478,-0.999999999997015,-0.5650568327058376,-0.7419866698880897,1.1573952280419966,0.0,0.5,-0.9999999996863708
-0.9999999999999972,-0.9999999999999416,-0.9999999999966919,-0.5827551248802396,-0.7263476946982852,1.0509576587973015,0.0,0.5,-0.9999999996610209
-0.9999999999999967,-0.9999999999999352,-0.9999999999964352,-0.6017372855534839,-0.7102281255608014,0.9575588715195724,0.0,0.5,-0.9999999996339558
-0.9999999999999963,-0.9999999999999301,-0.9999999999963208,-0.6083129297300138,-0.6795440321675883,0.8963617735237246,0.0,0.5,-0.9999999996183313
-0.9999999999999959,-0.9999999999999256,-0.9999999999961404,-0.6167596023094891,-0.6704712075486554,0.8455032278073353,0.0,0.5,-0.9999999995995802
-0.9999999999999956,-0.999999999999921,-0.9999999999958302,-0.6358547728262718,-0.6537194345297194,0.7567767951423938,0.0,0.5,-0.9999999995834582
-0.9999999999999952,-0.999999999999916,-0.999999999995736,-0.645540857691683,-0.6470183019556162,0.7300431602319422,0.0,0.5,-0.9999999995727978
-0.999999999999995,-0.9999999999999137,-0.9999999999955398,-0.6541102604945832,-0.6319515991087046,0.6808755800650554,0.0,0.5,-0.9999999995647547
-0.9999999999999946,-0.9999999999999106,-0.9999999999955161,-0.6522771455981533,-0.6112213722371871,0.6632393349185821,0.0,0.5,-0.9999999995593509
-0.9999999999999944,-0.9999999999999075,-0.9999999999954144,-0.6559857915449727,-0.597554585598265,0.5915561277843733,0.0,0.5,-0.9999999995480364
-0.999999999999994,-0.9999999999999044,-0.9999999999953184,-0.6616606966135224,-0.5904654080025247,0.5529192549367985,0.0,0.5,-0.9999999995422348
-0.9999999999999939,-0.9999999999999023,-0.9999999999952344,-0.6643454289240994,-0.5699877833223614,0.5297125581207818,0.0,0.5,-0.9999999995327374
-0.9999999999999936,-0.9999999999999023,-0.9999999999951164,-0.6653052695475041,-0.5668001124523693,0.48972450952126256,0.0,0.5,-0.9999999995345266
-0.9999999999999933,-0.9999999999998989,-0.9999999999951603,-0.6700929827095903,-0.5485900379609642,0.4915502114569743,0.0,0.5,-0.9999999995291483
-0.9999999999999931,-0.9999999999998975,-0.9999999999950957,-0.6748153987491359,-0.54007802927425,0.4844907322817922,0.0,0.5,-0.9999999995195074
-0.9999999999999931,-0.9999999999998966,-0.9999999999951267,-0.6767530069208263,-0.5243720241103821,0.4292994978791591,0.0,0.5,-0.9999999995211734
-1.0,-0.9999999999999996,-0.999999999999964,-0.36,0.0,0.5,0.0,0.5,-0.999999999995
-1.0,-0.999999999999999,-0.9999999999999394,-0.3727583080802699,-0.9259288235947215,1.7981048948380547,0.0,0.5,-0.999999999992424
-1.0,-0.9999999999999983,-0.9999999999998948,-0.37095411174476756,-1.1516465470601287,2.5509714625058826,0.0,0.5,-0.9999999999879503
-0.9999999999999999,-0.9999999999999976,-0.9999999999998298,-0.36757756523389906,-1.163661844572348,2.9424125685715294,0.0,0.5,-0.9999999999808393
-0.9999999999999999,-0.9999999999999964,-0.9999999999997395,-0.38338540499851603,-1.097103786027515,2.8730644865854087,0.0,0.5,-0.9999999999706662
-0.9999999999999999,-0.9999999999999948,-0.9999999999996046,-0.38520860488714614,-0.983185658787669,2.5560766070148118,0.0,0.5,-0.9999999999552432
-0.9999999999999998,-0.9999999999999922,-0.9999999999994112,-0.404746089870469,-0.8911552959575835,2.2270251934123655,0.0,0.5,-0.9999999999318392
-0.9999999999999997,-0.9999999999999885,-0.9999999999991845,-0.4146532315026328,-0.8635033858452623,2.014609556159934,0.0,0.5,-0.9999999999051891
-0.9999999999999994,-0.9999999999999836,-0.9999999999988789,-0.43614238995662447,-0.833410219611812,1.8136498785923356,0.0,0.5,-0.9999999998730166
-0.9999999999999992,-0.999999999999978,-0.9999999999985063,-0.47638545287801093,-0.8210461755747239,1.6969900733554732,0.0,0.5,-0.9999999998325168
-0.9999999999999989,-0.9999999999999706,-0.9999999999981157,-0.4893350159701635,-0.8059488427020585,1.5125827424860905,0.0,0.5,-0.9999999997921422
-0.9999999999999984,-0.9999999999999633,-0.9999999999977387,-0.52275187978163,-0.7976078734269794,1.4030303224881426,0.0,0.5,-0.9999999997529523
-0.9999999999999981,-0.9999999999999558,-0.9999999999973618,-0.5400055142455336,-0.7666595207922857,1.2352135210524966,0.0,0.5,-0.999999999717184
-0.9999999999999977,-0.9999999999999483,-0.9999999999969943,-0.5652277440968059,-0.7532953449749252,1.1688795295984975,0.0,0.5,-0.999999999686938
-0.9999999999999972,-0.9999999999999424,-0.9999999999967175,-0.5836978109618183,-0.7183816062377316,1.075362843142532,0.0,0.5,-0.9999999996616824
-0.9999999999999968,-0.9999999999999366,-0.9999999999964546,-0.5957581935049718,-0.692961767702782,0.9958690981683482,0.0,0.5,-0.9999999996338573
-0.9999999999999964,-0.9999999999999305,-0.9999999999962415,-0.6093113702410244,-0.6825558842635503,0.9126175905268206,0.0,0.5,-0.9999999996143893
-0.9999999999999961,-0.9999999999999258,-0.9999999999960895,-0.6281896916211891,-0.662276342383818,0.8202960466182432,0.0,0.5,-0.9999999995958644
-0.9999999999999957,-0.9999999999999227,-0.9999999999958473,-0.628913607777802,-0.6514238084492786,0.7800495575473145,0.0,0.5,-0.9999999995857566
-0.9999999999999954,-0.9999999999999176,-0.9999999999957402,-0.6498353870267829,-0.6450180426342194,0.7329978881699482,0.0,0.5,-0.9999999995625238
-0.999999999999995,-0.9999999999999151,-0.999999999995607,-0.6476535939446477,-0.6195953208507856,0.675865135817117,0.0,0.5,-0.9999999995524189
