mu0,mu1,mu2,C,CV,Ln,CV_SP,Ln_SP,mu3
1500.0,23000.0,1800000.0,0.16,1.0,15.0,1.0,15.0,250000000.0
1760.885986328125,49086.421875,3019439.25,0.15956589579582214,0.07265351712703705,27.542652130126953,1.0,15.0,380463328.0
2208.594482421875,80408.671875,5150174.0,0.15885275602340698,-0.15446580946445465,36.07384490966797,1.0,15.0,594793280.0
2980.470947265625,120042.828125,8346356.0,0.15772032737731934,-0.17360997200012207,39.943145751953125,1.0,15.0,935133696.0
4384.494140625,174667.25,12941933.0,0.15598006546497345,-0.09850402176380157,39.50417709350586,1.0,15.0,1458154624.0
6879.90869140625,254426.65625,19377342.0,0.1534373015165329,0.0034710755571722984,36.647789001464844,1.0,15.0,2222365952.0
10866.4951171875,370177.90625,28038122.0,0.1499786525964737,0.08024810254573822,33.732669830322266,1.0,15.0,3261831424.0
17874.52734375,544552.5625,39861128.0,0.14533741772174835,0.15854230523109436,30.13196563720703,1.0,15.0,4656705536.0
26992.1171875,777738.5625,54464492.0,0.13981691002845764,0.17018026113510132,28.480224609375,1.0,15.0,6315834880.0
39842.453125,1074859.625,71931680.0,0.1334860771894455,0.1909874826669693,26.64443016052246,1.0,15.0,8218516480.0
55696.6328125,1422567.125,91164600.0,0.1268080770969391,0.20260904729366302,25.208032608032227,1.0,15.0,10225520640.0
74495.21875,1799355.625,110858104.0,0.1202399879693985,0.21945135295391083,23.820659637451172,1.0,15.0,12199503872.0
95669.203125,2178924.75,129571880.0,0.1142234355211258,0.24340638518333435,22.442296981811523,1.0,15.0,14007727104.0
117333.453125,2546926.75,146764304.0,0.10887600481510162,0.26051151752471924,21.373424530029297,1.0,15.0,15614849024.0
138595.03125,2894036.25,162281472.0,0.10418813675642014,0.27240312099456787,20.54792594909668,1.0,15.0,17023744000.0
158910.265625,3218369.5,176275984.0,0.10006562620401382,0.2797066569328308,19.919431686401367,1.0,15.0,18262728704.0
179283.796875,3471566.5,186788304.0,0.09703140705823898,0.3078485429286957,19.030214309692383,1.0,15.0,19174635520.0
198456.53125,3708379.0,196232192.0,0.09435196220874786,0.32762572169303894,18.352787017822266,1.0,15.0,19979915264.0
216468.578125,3935440.5,205003984.0,0.09190288186073303,0.3399348258972168,17.846878051757812,1.0,15.0,20715960320.0
233439.0,4142861.0,212810080.0,0.08975526690483093,0.35056158900260925,17.413761138916016,1.0,15.0,21361408000.0
249135.53125,4297694.5,218484576.0,0.08821281045675278,0.36953625082969666,16.91710662841797,1.0,15.0,21824980992.0
263558.03125,4420730.0,222868320.0,0.08703220635652542,0.3903792202472687,16.439950942993164,1.0,15.0,22179801088.0
277812.875,4558917.5,227670592.0,0.08575022220611572,0.40359267592430115,16.076705932617188,1.0,15.0,22565089280.0
291359.6875,4687612.5,232050160.0,0.0845915749669075,0.4153062403202057,15.755422592163086,1.0,15.0,22913314816.0
302855.875,4766141.0,234667088.0,0.08390406519174576,0.43315693736076355,15.404000282287598,1.0,15.0,23119939584.0
314269.59375,4849021.0,237372064.0,0.08319732546806335,0.4481694996356964,15.096168518066406,1.0,15.0,23332343808.0
326308.25,4958080.5,240869504.0,0.08228953927755356,0.45650145411491394,14.86114501953125,1.0,15.0,23605172224.0
336008.1875,5017049.0,242729600.0,0.08180952072143555,0.47091394662857056,14.598005294799805,1.0,15.0,23749439488.0
